datetime,open,high,low,close,volume
2021-05-07 00:00:00+00:00,46778.47,48292.28,45861.52,47278.79,1978.15418005
2021-05-08 00:00:00+00:00,47272.7,49000.0,46945.92,48470.77,1726.07131224
2021-05-09 00:00:00+00:00,48470.77,48769.77,46510.0,47907.7,1749.24352225
2021-05-10 00:00:00+00:00,47941.6,48976.04,44346.42,46067.89,3632.09451408
2021-05-11 00:00:00+00:00,46067.89,46898.15,44932.33,46740.9,1781.03332946
2021-05-12 00:00:00+00:00,46721.47,47872.64,40300.28,41027.63,3332.70892519
2021-05-13 00:00:00+00:00,41068.7,42540.64,37977.63,41149.99,6540.92763587
2021-05-14 00:00:00+00:00,41132.48,42539.34,40402.46,41083.47,2667.78202213
2021-05-15 00:00:00+00:00,41124.45,41723.91,38390.02,38577.9,2647.29613327
2021-05-16 00:00:00+00:00,38593.56,41042.54,36008.67,38194.32,3812.24829626
2021-05-17 00:00:00+00:00,38190.93,38338.18,34600.0,35844.09,5576.89309482
2021-05-18 00:00:00+00:00,35833.88,37657.59,34658.72,35148.55,3095.04062885
2021-05-19 00:00:00+00:00,35121.45,35680.05,24150.0,30233.82,16665.79431839
2021-05-20 00:00:00+00:00,30196.29,34997.76,28843.74,33235.5,8176.66932237
2021-05-21 00:00:00+00:00,33254.71,34528.49,27525.72,30682.85,7508.53290817
2021-05-22 00:00:00+00:00,30668.22,31912.04,28953.11,30816.45,3986.61085006
2021-05-23 00:00:00+00:00,30809.58,31434.32,25553.28,28503.62,7110.4242874
2021-05-24 00:00:00+00:00,28517.79,32790.13,28261.63,31805.78,4775.24920032
2021-05-25 00:00:00+00:00,31835.75,32628.3,29619.48,31343.53,3230.93152347
2021-05-26 00:00:00+00:00,31338.21,33450.1,30885.34,32249.7,2748.21580676
2021-05-27 00:00:00+00:00,32254.55,33188.67,30583.27,31585.12,2153.25427116
2021-05-28 00:00:00+00:00,31670.54,31943.19,28499.88,29321.99,3539.66871159
2021-05-29 00:00:00+00:00,29311.41,30620.05,27724.5,28487.42,3058.33389778
2021-05-30 00:00:00+00:00,28501.56,30018.41,27525.72,29298.12,2355.80797848
2021-05-31 00:00:00+00:00,29224.34,30675.96,28076.59,30514.17,2256.26668679
2021-06-01 00:00:00+00:00,30474.98,31000.02,29226.77,30028.05,2046.0996779
2021-06-02 00:00:00+00:00,30023.56,31332.1,29434.85,30798.03,1976.61198149
